,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,LotFrontage_na,MasVnrArea_na,GarageYrBlt_na
0,1,0,4.382026634673881,8.560657758077788e+49,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,5,6,49,49,1,1,5,5,0,0.0,3,3,3,3,3,1,3,468.0,2,1,270.0,882.0,0,3,0.0,0,6.79794041297493,0,0,6.79794041297493,0.0,0.0,1,0,2,1,3.0,5,0,0,0,0,49.0,1,1.0,730.0,3,3,0.0,140,0,0,0,1,0,1,3,0,0,6,1,0,0,0,0
1,1,0,4.394449154672439,1.122721816640657e+51,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,6,6,52,52,1,1,5,5,0,108.0,3,3,3,3,3,1,5,923.0,1,0,406.0,1329.0,0,3,0.0,0,7.192182058713246,0,0,7.192182058713246,0.0,0.0,1,1,3,1,4.0,6,0,0,0,0,52.0,1,1.0,312.0,3,3,0.0,393,36,0,0,0,0,1,0,0,1,6,1,0,0,0,0
2,1,0,4.30406509320417,7.597828075103202e+50,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,5,5,13,12,1,1,5,5,0,0.0,3,3,3,4,3,1,6,791.0,1,0,137.0,928.0,0,4,0.0,0,6.833031732786201,701,0,7.395721608602045,0.0,0.0,2,1,3,1,3.0,6,0,1,3,0,13.0,3,2.0,482.0,3,3,0.0,212,34,0,0,0,0,1,3,0,0,3,1,0,0,0,0
3,1,0,4.356708826689592,1.2621702789452597e+49,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,6,6,12,12,1,1,5,5,0,20.0,3,3,3,3,3,1,6,602.0,1,0,324.0,926.0,0,5,0.0,0,6.8308742346461795,678,0,7.38025578842646,0.0,0.0,2,1,3,1,4.0,7,0,1,4,0,12.0,3,2.0,470.0,3,3,0.0,360,36,0,0,0,0,1,0,0,0,6,1,0,0,0,0
4,1,0,3.7612001156935624,2.189465281237349e+45,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,8,5,18,18,1,1,5,5,0,0.0,4,3,3,4,3,1,5,263.0,1,0,1017.0,1280.0,0,5,0.0,0,7.154615356913663,0,0,7.154615356913663,0.0,0.0,2,0,2,1,4.0,5,0,0,0,0,18.0,2,2.0,506.0,3,3,0.0,0,82,0,0,1,0,1,0,0,0,1,1,0,0,0,0
5,1,0,4.31748811353631,1.2975483040679024e+49,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,6,5,17,16,1,1,5,5,0,0.0,3,3,3,4,3,1,1,0.0,1,0,763.0,763.0,0,4,0.0,0,6.637258031284457,892,0,7.411556287811163,0.0,0.0,2,1,3,1,3.0,7,0,1,3,0,17.0,3,2.0,440.0,3,3,0.0,157,84,0,0,0,0,1,0,0,0,4,1,0,0,0,0
6,1,0,4.2467757786272395,7.640476967156854e+47,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,6,7,18,3,1,1,5,5,0,0.0,3,4,3,4,3,1,5,935.0,1,0,233.0,1168.0,0,5,0.0,0,7.079184394609668,0,0,7.079184394609668,1.0,0.0,2,0,3,1,3.0,6,0,0,0,0,18.0,3,2.0,420.0,3,3,0.0,483,21,0,0,0,0,1,4,0,1,3,1,0,1,0,0
7,1,0,4.143134726391533,1.4588673676865607e+48,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,6,5,12,12,1,1,5,5,0,0.0,3,3,3,4,3,1,1,0.0,1,0,789.0,789.0,0,4,0.0,0,6.670766320845874,676,0,7.289610521451167,0.0,0.0,2,1,3,1,3.0,7,0,1,4,0,12.0,3,2.0,393.0,3,3,0.0,0,75,0,0,0,0,1,0,0,0,5,1,0,0,0,0
8,1,0,4.442651256490317,1.615206796608586e+49,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,7,5,20,20,1,1,5,5,0,0.0,3,3,3,4,3,4,6,637.0,1,0,663.0,1300.0,0,4,0.0,0,7.201170883281678,0,0,7.201170883281678,1.0,0.0,1,1,2,1,4.0,5,0,1,1,0,20.0,1,2.0,506.0,3,3,0.0,192,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0
9,1,0,4.248495242049359,1.4545146941869002e+48,0,0.0,2,0.0,0,3,2,11,4,0,0.0,2,4,5,40,40,1,1,5,5,0,0.0,3,3,3,3,3,1,5,804.0,3,1,0.0,882.0,0,3,0.0,0,6.782192056006791,0,0,6.782192056006791,1.0,0.0,1,0,2,1,3.0,4,0,0,0,0,40.0,3,2.0,525.0,3,3,0.0,240,0,0,0,0,0,1,3,0,0,4,1,0,0,0,0
